Fecha;Turno;Horario;OP;Articulo;Bandas;Cajas;Fajas x Caja;Fajas Totales;Observaciones
2-jun-25;M;6:00 a 14:00;10896;Credicoop;2;79;2500;197500;
3-jun-25;M;6:00 a 14:00;10896;Credicoop;2;85;2500;212500;
4-jun-25;M;6:00 a 14:00;10896;Credicoop;2;69;2500;172500;
5-jun-25;M;6:00 a 14:00;10896;Credicoop;2;5;2500;12500;
5-jun-25;M;6:00 a 14:00;10930;Credicoop;2;20;2500;50000;
5-jun-25;M;6:00 a 14:00;10932;Sur Finanzas;2;6;3000;18000;
6-jun-25;M;6:00 a 14:00;10932;Sur Finanzas;2;3;3000;9000;Falla sensor
9-jun-25;M;6:00 a 14:00;10930;Credicoop;2;81;2500;202500;
10-jun-25;M;6:00 a 14:00;10930;Credicoop;2;83;2500;207500;
11-jun-25;M;6:00 a 14:00;10930;Credicoop;2;82;2500;205000;
12-jun-25;M;6:00 a 14:00;10930;Credicoop;2;84;2500;210000;
13-jun-25;M;6:00 a 14:00;10930;Credicoop;2;24;2500;60000;
13-jun-25;M;6:00 a 14:00;10930;Credicoop;2;59;2500;147500;Falla adhesivo
14-jun-25;M;6:00 a 14:00;10930;Credicoop;2;55;2500;137500;Falla sensor/Falla bobina
17-jun-25;M;6:00 a 14:00;10888;Credicoop;2;74;2500;185000;
18-jun-25;M;6:00 a 14:00;10888;Credicoop;2;77;2500;192500;
19-jun-25;M;6:00 a 14:00;10888;Santander;2;45;3000;135000;
23-jun-25;M;6:00 a 14:00;10888;Santander;2;72;3000;216000;
24-jun-25;M;6:00 a 14:00;10888;Santander;2;73;3000;219000;
25-jun-25;M;6:00 a 14:00;10888;Santander;2;71;3000;213000;
26-jun-25;M;6:00 a 14:00;10888;Santander;2;74;3000;222000;
27-jun-25;M;6:00 a 14:00;10888;Santander;2;72;3000;216000;
28-jun-25;M;6:00 a 11:00;10995;Provincia Net;2;29;3000;87000;
30-jun-25;M;6:00 a 14:00;10995;Provincia Net;2;74;3000;222000;
2-jul-25;M;6:00 a 14:00;10776;Galicia;2;83;2500;207500;
3-jul-25;M;6:00 a 14:00;10776;Galicia;2;70;2500;175000;
5-jul-25;M;6:00 a 14:00;10776;Galicia;2;82;2500;205000;
6-jul-25;M;6:00 a 14:00;10806;Credicoop;2;84;2500;210000;
7-jul-25;M;6:00 a 14:00;10806;Credicoop;2;86;2500;215000;
8-jul-25;M;6:00 a 14:00;10806;Credicoop;2;85;2500;212500;
9-jul-25;M;6:00 a 14:00;10806;Credicoop;2;85;2500;212500;
12-jul-25;M;6:00 a 14:00;10806;Credicoop;2;74;2500;185000;
12-jul-25;M;6:00 a 11:00;10806;Credicoop;2;9;2500;22500;
13-jul-25;M;6:00 a 14:00;10806;Credicoop;2;86;2500;215000;
14-jul-25;M;6:00 a 14:00;10806;Credicoop;2;84;2500;210000;
15-jul-25;M;6:00 a 14:00;10806;Credicoop;2;85;2500;212500;
16-jul-25;M;6:00 a 14:00;10806;Credicoop;2;84;2500;210000;
17-jul-25;M;6:00 a 14:00;10806;Credicoop;2;48;2500;120000;Humedad
19-jul-25;M;6:00 a 14:00;10867;Bco Ciudad;2;33;3000;99000;Cambio de trabajo
20-jul-25;M;6:00 a 14:00;10867;Bco Ciudad;2;71;3000;213000;
21-jul-25;M;6:00 a 14:00;10705;Santander;2;54;3000;162000;Cambio de trabajo
22-jul-25;M;6:00 a 14:00;10705;Santander;2;74;3000;222000;
23-jul-25;M;6:00 a 14:00;10705;Santander;2;71;3000;213000;
26-jul-25;M;6:00 a 14:00;10705;Santander;2;65;3000;195000;Falla buje de bobina
29-jul-25;M;6:00 a 14:00;10896;Credicoop;2;60;2500;150000;Falla sensor
30-jul-25;M;6:00 a 14:00;10896;Credicoop;2;50;2500;125000;Mantenimiento adhesivo
31-jul-25;M;6:00 a 14:00;10896;Credicoop;2;66;2500;165000;
4-ago-25;M;6:00 a 14:00;11090;Santander;2;72;3000;216000;
5-ago-25;M;6:00 a 14:00;11090;Santander;2;73;3000;219000;
6-ago-25;M;6:00 a 14:00;11090;Santander;2;8;3000;24000;
6-ago-25;M;6:00 a 14:00;1110;Sto Estero;2;37;3000;111000;
7-ago-25;M;6:00 a 14:00;1110;Sto Estero;2;57;3000;171000;
8-ago-25;M;6:00 a 14:00;1110;Sto Estero;2;61;3000;183000;
9-ago-25;M;6:00 a 14:00;1110;Sto Estero;2;41;3000;123000;
9-ago-25;M;6:00 a 14:00;1113;Caja Ahorro;2;4;2500;10000;Falla adhesivo
10-ago-25;M;6:00 a 14:00;1113;Caja Ahorro;2;82;2500;205000;Falla contactor
11-ago-25;M;6:00 a 14:00;1113;Caja Ahorro;2;67;2500;167500;
13-ago-25;M;6:00 a 14:00;11090;Santander;2;64;3000;192000;Falla contactor
14-ago-25;M;6:00 a 14:00;11090;Santander;2;50;3000;150000;
15-ago-25;M;6:00 a 14:00;11143;Bco Neuquen;1;43;2500;107500;Falla contactor
18-ago-25;M;6:00 a 14:00;11143;Bco Neuquen;1;44;2500;110000;
19-ago-25;M;6:00 a 14:00;11090;Santander;2;18;3000;54000;
20-ago-25;M;6:00 a 14:00;11090;Santander;2;69;3000;207000;
21-ago-25;M;6:00 a 14:00;11090;Santander;2;62;3000;186000;
22-ago-25;M;6:00 a 14:00;11090;Santander;2;66;3000;198000;
